timestamp,bicep_raw,tricep_raw,bicep_envelope,tricep_envelope,ratio_b_to_t,co_activation,label
18:18:01.474776,257.07,867.21,29.030499999999996,50.124500000000005,0.5791678719987231,29.030499999999996,yaw towards right
18:18:01.483883,210.72,907.33,32.64399999999999,53.262000000000015,0.6128947467237427,32.64399999999999,yaw towards right
18:18:01.494664,280.56,897.84,35.1275,47.42900000000002,0.7406333677707727,35.1275,yaw towards right
18:18:01.507095,257.0,989.12,35.07649999999999,48.941500000000026,0.7167025939131406,35.07649999999999,yaw towards right
18:18:01.519894,232.21,967.86,34.64449999999998,56.77650000000001,0.6101908359972871,34.64449999999998,yaw towards right
18:18:01.531935,250.07,948.7,30.307499999999983,62.533000000000015,0.4846640973565953,30.307499999999983,yaw towards right
18:18:01.541688,319.91,1032.49,35.04599999999998,67.45500000000001,0.5195463642428282,35.04599999999998,yaw towards right
18:18:01.551610,286.06,1004.13,28.037499999999987,67.474,0.415530426534665,28.037499999999987,yaw towards right
18:18:01.564346,245.44,863.43,25.143999999999988,60.76350000000002,0.4138010483267089,25.143999999999988,yaw towards right
18:18:01.574887,226.13,860.2,21.08949999999999,66.78550000000003,0.3157796228223189,21.08949999999999,yaw towards right
18:18:01.588547,405.15,957.0,35.46099999999999,66.68450000000003,0.5317727507891635,35.46099999999999,yaw towards right
18:18:01.596844,408.95,940.24,45.783999999999985,63.41750000000002,0.7219458351401422,45.783999999999985,yaw towards right
18:18:01.609226,383.24,833.79,54.266,72.50400000000002,0.7484552576409575,54.266,yaw towards right
18:18:01.619727,408.04,832.81,64.768,73.25400000000002,0.8841564965735658,64.768,yaw towards right
18:18:01.630598,411.65,833.59,68.29299999999998,71.78850000000003,0.9513083571881285,68.29299999999998,yaw towards right
18:18:01.640199,391.63,832.28,68.01599999999999,68.36800000000002,0.9948513924643104,68.01599999999999,yaw towards right
18:18:01.654662,351.02,831.89,66.548,56.888000000000034,1.1698073407396985,56.888000000000034,yaw towards right
18:18:01.663596,332.05,836.26,70.362,49.40000000000005,1.4243319838056665,49.40000000000005,yaw towards right
18:18:01.676394,324.8,835.3,75.46599999999998,43.01700000000004,1.7543296836134532,43.01700000000004,yaw towards right
18:18:01.690615,421.19,833.41,75.0055,36.26350000000003,2.068346960442316,36.26350000000003,yaw towards right
18:18:01.699254,405.8,831.64,60.55250000000001,36.03450000000005,1.6804035021992794,36.03450000000005,yaw towards right
18:18:01.707697,413.27,829.51,47.99099999999999,35.13350000000003,1.3659612620433474,35.13350000000003,yaw towards right
18:18:01.724881,449.56,935.01,41.08399999999999,33.41750000000003,1.229415725293632,33.41750000000003,yaw towards right
18:18:01.730801,425.64,917.92,32.26999999999998,30.69350000000002,1.0513626663625837,30.69350000000002,yaw towards right
18:18:01.740453,341.1,1009.62,32.02399999999999,41.39550000000002,0.7736106581633262,32.02399999999999,yaw towards right
18:18:01.756718,301.1,981.86,39.33549999999998,53.050000000000026,0.74147973609802,39.33549999999998,yaw towards right
18:18:01.766229,369.64,1029.42,37.50199999999999,66.77250000000004,0.5616383990415211,37.50199999999999,yaw towards right
18:18:01.780223,317.12,999.05,39.02349999999999,73.90750000000003,0.5280046003450256,39.02349999999999,yaw towards right
18:18:01.789461,261.15,972.17,45.416999999999994,75.69000000000003,0.6000396353547361,45.416999999999994,yaw towards right
18:18:01.802408,242.11,947.36,54.46299999999999,76.90250000000003,0.7082084457592401,54.46299999999999,yaw towards right
18:18:01.813757,202.91,927.46,66.37449999999998,79.94700000000003,0.8302312782218214,66.37449999999998,yaw towards right
18:18:01.825110,183.14,1018.23,77.516,83.70850000000003,0.9260230442547648,77.516,yaw towards right
18:18:01.838978,367.41,988.24,79.08200000000001,73.83750000000002,1.0710275943795495,73.83750000000002,yaw towards right
18:18:01.847666,467.29,1049.66,93.20850000000002,70.99700000000004,1.312851247235798,70.99700000000004,yaw towards right
18:18:01.858128,453.83,1015.39,101.919,55.64500000000005,1.831593135052564,55.64500000000005,yaw towards right
18:18:01.871811,398.15,985.2,99.7765,41.88150000000003,2.382352590045723,41.88150000000003,yaw towards right
18:18:01.881662,380.57,1067.4,101.799,34.02400000000003,2.991976252057369,34.02400000000003,yaw towards right
18:18:01.891115,318.23,1030.39,97.198,29.62300000000003,3.281166661040405,29.62300000000003,yaw towards right
18:18:01.898789,255.73,1104.83,93.25000000000004,36.56700000000002,2.550113490305466,36.56700000000002,yaw towards right
18:18:01.913334,262.85,1062.73,89.92100000000002,39.16850000000004,2.2957478586108717,39.16850000000004,yaw towards right
18:18:01.928654,339.58,1131.8,78.69250000000002,45.115500000000026,1.7442453258857815,45.115500000000026,yaw towards right
18:18:01.939611,331.93,1086.18,68.25200000000002,43.992500000000014,1.5514462692504405,43.992500000000014,yaw towards right
18:18:01.948385,316.44,1046.34,64.35350000000001,44.659000000000034,1.4409973353635317,44.659000000000034,yaw towards right
18:18:01.961474,291.85,1010.97,51.858500000000014,43.414,1.1945109872391395,43.414,yaw towards right
18:18:01.973070,368.42,981.19,41.72050000000001,48.573999999999984,0.8589059990941661,41.72050000000001,yaw towards right
18:18:01.985677,339.48,1064.24,37.57200000000002,47.80499999999998,0.7859428930028247,37.57200000000002,yaw towards right
18:18:02.021798,347.1,1027.45,35.94350000000001,43.13799999999995,0.8332212898140862,35.94350000000001,yaw towards right
